SSC,Volume
SSC_ChurchSt,41.53887515
SSC_ChurchSt,0.910579538
SSC_ChurchSt,16.11380545
SSC_ChurchSt,0.347682772
SSC_ChurchSt,1.192283149
SSC_ChurchSt,21.82836573
SSC_ChurchSt,0.265553113
SSC_ChurchSt,9.884329901
SSC_ChurchSt,2.604443984
SSC_ChurchSt,0.599158726
SSC_ChurchSt,42.33524723
SSC_ChurchSt,1.844270745
SSC_ChurchSt,110.2851612
SSC_ChurchSt,0.541623247
SSC_ChurchSt,0.3808881
SSC_ChurchSt,4.97221655
SSC_ChurchSt,1.163296604
SSC_ChurchSt,4.419053936
SSC_ChurchSt,4.707678904
SSC_ChurchSt,4.727681478
SSC_ChurchSt,15.83429067
SSC_ChurchSt,1.99669775
SSC_ChurchSt,2.941937543
SSC_ChurchSt,9.589066808
SSC_ChurchSt,4.35E-02
SSC_ChurchSt,0.190529631
SSC_ChurchSt,1.74722507
SSC_ChurchSt,7.20E-02
SSC_ChurchSt,0.63780911
SSC_ChurchSt,1.281764157
SSC_ChurchSt,0.134124871
SSC_ChurchSt,7.220128071
SSC_ChurchSt,3.720060799
SSC_ChurchSt,1.013779625
SSC_ChurchSt,3.658747425
SSC_ChurchSt,2.620088806
SSC_ChurchSt,38.58515642
SSC_ChurchSt,2.524884806
SSC_ChurchSt,2.690801894
SSC_ChurchSt,0.483852237
SSC_ChurchSt,0.535507392
SSC_ChurchSt,4.112780032
SSC_ChurchSt,56.52701336
SSC_ChurchSt,254.2067867
SSC_ChurchSt,2.645799456
SSC_ChurchSt,4.579300837
SSC_ChurchSt,7.87478195
SSC_ChurchSt,3.355686724
SSC_ChurchSt,1.626515187
SSC_ChurchSt,0.190572798
SSC_ChurchSt,3.190528446
SSC_ChurchSt,7.841099691
SSC_ChurchSt,6.962168963
SSC_ChurchSt,12.21401769
SSC_ChurchSt,0.447618527
SSC_ChurchSt,5.560191379
SSC_ChurchSt,0.773568529
SSC_ChurchSt,1.551007402
SSC_ChurchSt,1.12328458
SSC_ChurchSt,1.469923634
SSC_ChurchSt,0.232831001
SSC_ChurchSt,1.207891091
SSC_ChurchSt,89.81161028
SSC_ChurchSt,168.2109772
SSC_ChurchSt,0.860358107
SSC_ChurchSt,0.317361237
SSC_ChurchSt,3.175648473
SSC_ChurchSt,1.282194987
SSC_ChurchSt,32.89368064
SSC_ChurchSt,1.610338533
SSC_ChurchSt,8.947507805
SSC_ChurchSt,2.778640886
SSC_ChurchSt,3.151123024
SSC_ChurchSt,2.887528514
SSC_ChurchSt,1.273917438
SSC_ChurchSt,9.95E-02
SSC_ChurchSt,8.77E-02
SSC_ChurchSt,0.538869373
SSC_ChurchSt,33.13964407
SSC_ChurchSt,201.8216981
SSC_ChurchSt,79.08959769
SSC_ChurchSt,12.86962989
SSC_ChurchSt,15.99920612
SSC_ChurchSt,1.229080543
SSC_ChurchSt,3.944958576
SSC_ChurchSt,30.48175707
SSC_ChurchSt,2.96504184
SSC_ChurchSt,10.55982321
SSC_ChurchSt,4.525680126
SSC_ChurchSt,17.0793317
SSC_ChurchSt,314.4536994
SSC_ChurchSt,11.76705103
SSC_ChurchSt,3.614825414
SSC_ChurchSt,151.5393321
SSC_ChurchSt,3.461495259
SSC_ChurchSt,0.280780516
SSC_ChurchSt,0.761027526
SSC_ChurchSt,0.346668142
SSC_ChurchSt,1.621400969
SSC_ChurchSt,0.43569527
SSC_ChurchSt,3.631415886
SSC_ChurchSt,17.75471838
SSC_ChurchSt,2.437013792
SSC_ChurchSt,0.72371716
SSC_ChurchSt,3.510775325
SSC_ChurchSt,74.11914628
SSC_ChurchSt,13.42664197
SSC_ChurchSt,2.811763824
SSC_ChurchSt,5.373221466
SSC_ChurchSt,0.407106693
SSC_ChurchSt,9.53E-02
SSC_ChurchSt,14.89038787
SSC_ChurchSt,0.18148891
SSC_ChurchSt,3.226734077
SSC_ChurchSt,5.399657569
SSC_ChurchSt,4.95231313
SSC_ChurchSt,0.232732514
SSC_ChurchSt,1.049313027
SSC_ChurchSt,3.451090803
SSC_ChurchSt,0.453764138
SSC_ChurchSt,0.457518393
SSC_ChurchSt,3.122368657
SSC_ChurchSt,36.13112268
SSC_ChurchSt,1.671106074
SSC_ChurchSt,2.051302915
SSC_ChurchSt,10.85821401
SSC_ChurchSt,3.530148076
SSC_ChurchSt,98.52250374
SSC_ChurchSt,6.171475538
SSC_ChurchSt,1.523337731
SSC_ChurchSt,4.062544524
SSC_ChurchSt,1.03187783
SSC_ChurchSt,0.990851767
SSC_ChurchSt,1.838935664
SSC_ChurchSt,0.598357416
SSC_ChurchSt,44.69601411
SSC_ChurchSt,3.683806801
SSC_ChurchSt,1.516292741
SSC_ChurchSt,0.614887368
SSC_ChurchSt,0.46669993
SSC_ChurchSt,1.452767973
SSC_ChurchSt,154.1059373
SSC_ChurchSt,1.632303729
SSC_ChurchSt,1.281464085
SSC_ChurchSt,128.3770485
SSC_ChurchSt,431.6683961
SSC_ChurchSt,1080.808959
SSC_ChurchSt,6.780254252
SSC_ChurchSt,3.438416869
SSC_ChurchSt,5.599169915
SSC_ChurchSt,63.41137687
SSC_ChurchSt,87.28592827
SSC_ChurchSt,0.832673519
SSC_ChurchSt,2.337368315
SSC_ChurchSt,7.374180404
SSC_ChurchSt,2.050621466
SSC_ChurchSt,2.352143421
SSC_ChurchSt,456.3903642
SSC_ChurchSt,17.15540669
SSC_ChurchSt,1.056236479
SSC_ChurchSt,0.911400964
SSC_ChurchSt,1.97E-04
SSC_ChurchSt,3.683753157
SSC_ChurchSt,4.124601869
SSC_ChurchSt,2.767448283
SSC_ChurchSt,3.956955594
SSC_ChurchSt,1.642332676
SSC_ChurchSt,3.111012265
SSC_ChurchSt,0.168418171
SSC_ChurchSt,60.91899785
SSC_ChurchSt,3.801773706
SSC_ChurchSt,25.51685742
SSC_ChurchSt,17.81271159
SSC_ChurchSt,5.105766499
SSC_ChurchSt,1.388788068
SSC_ChurchSt,2.91908177
SSC_ChurchSt,6.829405313
SSC_ChurchSt,1.816104617
SSC_ChurchSt,0.156374633
SSC_ChurchSt,6.92E-02
SSC_ChurchSt,1.752705158
SSC_ChurchSt,9.072136647
SSC_ChurchSt,0.313840419
SSC_ChurchSt,16.50752095
SSC_ChurchSt,1.784001089
SSC_ChurchSt,5.584617084
SSC_ChurchSt,0.357237722
SSC_ChurchSt,25.68911132
SSC_ChurchSt,0.339906461
SSC_ChurchSt,44.35094021
SSC_ChurchSt,0.106036275
SSC_ChurchSt,2.758279148
SSC_ChurchSt,3.307744085
SSC_ChurchSt,3.215196387
SSC_ChurchSt,0.525397978
SSC_ChurchSt,3.821508897
SSC_ChurchSt,1.594682814
SSC_ChurchSt,355.9257719
SSC_ChurchSt,28.99152568
SSC_ChurchSt,0.777687816
SSC_ChurchSt,24.75827172
SSC_ChurchSt,25.89246468
SSC_ChurchSt,0.77882524
SSC_ChurchSt,5.45292565
SSC_ChurchSt,77.75668337
SSC_ChurchSt,0.218549495
SSC_ChurchSt,4.65141035
SSC_ChurchSt,55.16293625
SSC_ChurchSt,78.57937111
SSC_ChurchSt,49.9080074
SSC_ChurchSt,0.569954499
SSC_ChurchSt,1.636734403
SSC_ChurchSt,0.976022085
SSC_ChurchSt,0.802245535
SSC_ChurchSt,0.466510079
SSC_ChurchSt,5.481250957
SSC_ChurchSt,2.4287375
SSC_ChurchSt,27.01178294
SSC_ChurchSt,2.842680303
SSC_ChurchSt,0.79005238
SSC_ChurchSt,5.242137472
SSC_ChurchSt,2.424894398
SSC_ChurchSt,5.704333882
SSC_ChurchSt,7.986207199
SSC_ChurchSt,1.563124111
SSC_ChurchSt,0.740702249
SSC_ChurchSt,0.148062719
SSC_ChurchSt,1.990057187
SSC_ChurchSt,2.33559863
SSC_ChurchSt,1.579431103
SSC_ChurchSt,0.347970271
SSC_ChurchSt,2.661172704
SSC_ChurchSt,5.878945612
SSC_ChurchSt,1.729839746
SSC_ChurchSt,4.864978899
SSC_ChurchSt,13.81299145
SSC_ChurchSt,0.740603513
SSC_ChurchSt,0.128937311
SSC_ChurchSt,0.471768466
SSC_ChurchSt,12.9401604
SSC_ChurchSt,2.462953267
SSC_ChurchSt,1.802313452
SSC_ChurchSt,0.371641185
SSC_ChurchSt,0.630273189
SSC_ChurchSt,7.44480691
SSC_ChurchSt,1.292046656
SSC_ChurchSt,5.356937694
SSC_ChurchSt,0.819606971
SSC_ChurchSt,10.50879276
SSC_ChurchSt,46.30491825
SSC_ChurchSt,7.061120092
SSC_ChurchSt,4.56335779
SSC_ChurchSt,18.85975918
SSC_ChurchSt,1.423913272
SSC_ChurchSt,11.10582113
SSC_ChurchSt,1.433545336
SSC_ChurchSt,4.629182552
SSC_ChurchSt,1.863991439
SSC_ChurchSt,74.4539605
SSC_ChurchSt,30.59308945
SSC_ChurchSt,3.598144589
